,address,categories,latitude,longitude,name,zipcode,Zip Code,Neighborhood
157,"409 E 14th St, New York, NY 10009","{'markets', 'grocery'}",40.7313896,-73.9819372,Associated Supermarkets,10009,10009,East Greenwich Village
158,"240 E Houston St, New York, NY 10009",{'grocery'},40.7221877574921,-73.9858368784189,Union Market,10009,10009,East Greenwich Village
159,"114 E 1st St, New York, NY 10009","{'indpak', 'grocery', 'vegetarian'}",40.7227225423661,-73.9866224576721,Punjabi Grocery & Deli,10009,10009,East Greenwich Village
160,"52 Ave A, New York, NY 10009",{'grocery'},40.723937,-73.984596,Key Food Supermarket,10009,10009,East Greenwich Village
161,"42 Ave C, New York, NY 10009",{'grocery'},40.721958,-73.980041,Fine Fare Super Market,10009,10009,East Greenwich Village
162,"215 Ave A, New York, NY 10009","{'mexican', 'grocery'}",40.730102,-73.980949,Zaragoza Mexican Deli & Grocery,10009,10009,East Greenwich Village
163,"123 Ave C, New York, NY 10009",{'grocery'},40.7245881,-73.9786736,Associated Supermarkets,10009,10009,East Greenwich Village
164,"188 Avenue C, New York, NY 10009",{'grocery'},40.726963,-73.975845,C Town Supermarket,10009,10009,East Greenwich Village
165,"66 Avenue C, New York, NY 10009","{'delis', 'grocery', 'convenience'}",40.722599,-73.9797363,Essa Deli Grocery,10009,10009,East Greenwich Village
166,"542 E 14th St, New York, NY 10009",{'grocery'},40.7293995,-73.9783282,Brothers Candy & Grocery Store,10009,10009,East Greenwich Village
167,"26 Ave A, New York, NY 10009","{'grocery', 'convenience'}",40.723155,-73.985374,Graceland,10009,10009,East Greenwich Village
168,"100 Ave A, New York, NY 10009",{'grocery'},40.7256699353456,-73.9837440848351,East Village Farm,10009,10009,East Greenwich Village
169,"148 1st Avenue, New York, NY 10009",{'grocery'},40.7280299,-73.98477,Lime Tree Market,10009,10009,East Greenwich Village
170,"71 Ave D, New York, NY 10009",{'grocery'},40.7223097980022,-73.9771082997322,Compare Foods,10009,10009,East Greenwich Village
171,"196 1st Ave, New York, NY 10009",{'grocery'},40.729797,-73.983345,Best Price Deli & Grocery,10009,10009,East Greenwich Village
172,"402 E 14th St, New York, NY 10009",{'grocery'},40.7310944,-73.9823431,14th Street Candy & Grocery,10009,10009,East Greenwich Village
173,"420 Lexington Ave, New York, NY 10170",{'grocery'},40.7527008,-73.975853,Greenwich Produce,10170,10170,Midtown
174,"55 E 59th St, New York, NY 10022","{'gourmet', 'grocery', 'catering'}",40.7635154724121,-73.9706497192383,Delmonico Gourmet Food Market,10022,10022,East Midtown
175,"226 E 57th St, New York, NY 10022","{'gourmet', 'coffee', 'grocery'}",40.7598572,-73.9668655,Whole Foods Market,10022,10022,East Midtown
176,"224 E 59th St, Ste A, New York, NY 10022",{'grocery'},40.760864,-73.96556,Katagiri Japanese Grocery Store,10022,10022,East Midtown
177,"1031 1st Ave, New York, NY 10022",{'grocery'},40.7580452,-73.9632721,Morton Williams,10022,10022,East Midtown
178,"966 1st Ave, New York, NY 10022",{'grocery'},40.7558784,-73.9644699,D'agostino Supermarkets,10022,10022,East Midtown
179,"1061 2nd Ave, New York, NY 10022","{'delis', 'grocery'}",40.758663,-73.966171,Deliteria Deli & Grocery,10022,10022,East Midtown
180,"1007 2nd Ave, New York, NY 10022",{'grocery'},40.757057,-73.967262,Aplus,10022,10022,East Midtown
181,"157 Hester St, New York, NY 10013",{'grocery'},40.71758,-73.9960399,Hong Kong Supermarket,10013,10013,"Tribeca, Soho"
182,"79 Elizabeth St, New York, NY 10013","{'butcher', 'grocery'}",40.71801,-73.9962,Deluxe Food Market,10013,10013,"Tribeca, Soho"
183,"200 Canal St, New York, NY 10013","{'grocery', 'convenience'}",40.7168452074784,-73.9983575531337,New Kam Man,10013,10013,"Tribeca, Soho"
184,"59 Bayard St, Ste A, New York, NY 10013",{'grocery'},40.7152805,-73.9979141,59 Bayard Market,10013,10013,"Tribeca, Soho"
185,"408 Broome St, New York, NY 10013","{'basque', 'grocery', 'spanish'}",40.7210686,-73.9979083,Despaña,10013,10013,"Tribeca, Soho"
186,"79 Bayard St, New York, NY 10013","{'coffee', 'grocery'}",40.71563,-73.99874,Sun's Organic Garden,10013,10013,"Tribeca, Soho"
187,"128 Mott St, New York, NY 10013",{'grocery'},40.718479,-73.996475,New York Mart,10013,10013,"Tribeca, Soho"
188,"1 Mott St, New York, NY 10013","{'organic_stores', 'grocery', 'tradamerican'}",40.7138025,-73.9988233,Ali Baba Organic Marketplace,10013,10013,"Tribeca, Soho"
189,"75 Mulberry St, New York, NY 10013",{'grocery'},40.71634,-73.99935,Sun Vin Grocery,10013,10013,"Tribeca, Soho"
190,"366 Broadway, New York, NY 10013","{'butcher', 'seafoodmarkets', 'grocery'}",40.7174120227286,-74.0035090521493,Gourmet Garage,10013,10013,"Tribeca, Soho"
191,"230 Grand St, New York, NY 10013","{'markets', 'grocery'}",40.7186499,-73.99499,Durian NYC,10013,10013,"Tribeca, Soho"
192,"218 Canal St, New York, NY 10013","{'seafoodmarkets', 'grocery'}",40.717166,-73.999359,Win Choy Food Market,10013,10013,"Tribeca, Soho"
193,"91 Mulberry St, New York, NY 10013",{'grocery'},40.71684,-73.9990399,Tokyo Mart,10013,10013,"Tribeca, Soho"
194,"18 Mott St, New York, NY 10013","{'healthmarkets', 'grocery'}",40.714313,-73.998504,Elite Health Products,10013,10013,"Tribeca, Soho"
195,"54 Elizabeth St, Ste 9, New York, NY 10013",{'grocery'},40.717178,-73.996322,"Mee Li Fruits & Vegs., Co.",10013,10013,"Tribeca, Soho"
196,"447 Broadway, New York, NY 10013",{'grocery'},40.720584,-74.001472,Jubilee Market,10013,10013,"Tribeca, Soho"
197,"42A Mott St, 1Fl, New York, NY 10013",{'grocery'},40.7151620726527,-73.9986725295917,Tong Ren Grocery Inc,10013,10013,"Tribeca, Soho"
198,"202 Avenue of the Americas, New York, NY 10013",{'grocery'},40.726638,-74.002983,M.H. Fruit Corporation,10013,10013,"Tribeca, Soho"
